name,line
当幸福来敲门,如果你有梦想，就要去捍卫它。
这个杀手不太冷,I want love or death.
肖申克的救赎,希望是美好的，也许是人间至善，而美好的事物永不消逝。
肖申克的救赎,你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。
怦然心动,有的人浅薄，有的人金玉其表败絮其中。有一天 你会遇到一个彩虹般绚烂的人，当你遇到这个人后，会觉得其他人都只是浮云而已。
泰坦尼克号,一个人一生可以爱上很多的人，等你获得真正属于你的幸福之后，你就会明白一起的伤痛其实是一种财富，它让你学会更好地去把握和珍惜你爱的人。
霸王别姬,说的是一辈子！差一年，一个月，一天，一个时辰，都不算一辈子！
让子弹飞,打雷天站在雨里头，有点儿不讲究！
寻梦环游记,在爱的记忆消失以前，请记住我。
我不是药神,世界上只有一种病：穷病。
我不是药神,我不想死，我想活着。
无间道,往往都是事情改变人，人却改变不了事情。
无间道,佛曰：受身无间者永生不死，寿长乃无间地狱之大劫。
大话西游,曾经有一份真挚的感情摆在我的面前但我没有珍惜，等我失去的时候才后悔莫及，人间最痛苦的事莫过于此。如果上天可以给我一次再来一次的机会，我会对哪个女孩说我爱你，如果非要在这份爱加上一个期限，我希望是一万年！
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒名单,什么是权力？一个人犯了罪，法官依法判他死刑。这不叫权力，这叫正义。而一个人同样犯了罪，皇帝可判他死刑，也可以不判他死，于是赦免了他，这就叫权力。
罗马假日,我现在必须离开你了。我会走到那个拐角，然后转弯。你就留在车里把车开走，答应我，别看我拐弯，你把车开走，离开我，就如同你离开我一样。
阿甘正传,生命就像一盒巧克力，你永远不知道下一颗是什么。
这个杀手不太冷,我所认为最深沉的爱，莫过于分开以后，我将自己，活成了你的样子。
盗梦空间,你等着一辆火车，它会把你带到远方。你明白自己希望火车把你带到哪儿，不过你也心存犹豫。但这一切都没有关系——因为我们在一起。
剪刀手爱德华,If I have no knife，I can't protect you. If I had a sword，I can't hold you.
泰坦尼克号,You jump，I jump.
千与千寻,曾经发生过的事情不可能忘记，只不过是想不起而已。
天堂电影院,如果你不出去走走，你就会以为这就是世界。
秒速五厘米,“呐，你知道吗?听说樱花飘落的速度是秒速5厘米哦。” 秒速5厘米，那是樱花飘落的速度，那么怎样的速度才能走完我与你之间的距离? 
了不起的盖茨比,如果打算爱一个人，你要想清楚，是否愿意为了他，放弃如上帝般自由的心灵，从此心甘情愿有了羁绊。
教父,让朋友低估你的优点，让敌人高估你的缺点。
少林足球,做人如果没有梦想，跟咸鱼有什么分别？
放牛班的春天,凡事都有可能，永远别说永远。
忠犬八公的故事,忠诚的意义在于我们不应该忘记爱过的每一个人。
血观音,世上最可怕的不是眼前的刑罚，而是那无爱的未来。
星际穿越,爱是永恒不变的力量，能够超越所有维度，当我归来，你已垂暮，我一次呼吸划过了你一辈子的岁月。
天空之城,我们的孤独就像天空中漂浮的城市，仿佛是一个秘密，却无从诉说。
飞屋环球记,幸福，不是长生不老，不是大鱼大肉，不是权倾朝野。幸福是每一个微小的生活愿望达成。当你想吃的时候有吃的，想被爱的时候有人来爱你。
魂断蓝桥,我不希望看到你流泪，除非是为了幸福。
卡萨布兰卡,世上有那么多的城镇，城镇有那么多的酒馆，而她却走进了我的。
断背山,I wish I knew how to quit you.
乱世佳人,After all，tomorrow is another day！
死亡诗社,人生就应该是快乐的，要抓住每一天，孩子们。让你们的生活变得非凡起来。
千与千寻,不要吃太胖哦，会被杀掉的。
